ページUrl,ASIN,Id,投稿日,星,名前,レビュー_タイトル,レビュー,役に立った
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B0C5M5WR65,RWJUJUR53VNDR,2023年6月2日,5つ星のうち5.0,とむとむ,最高！,"ボリューム満点💯
グラフィックも美しく世界観に没入できて本当に楽しかったです！
追加コンテンツいつか来ないかなー☺️;",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B0C5M5WR65,R2GL9RVSMR0OFT,2023年6月1日,5つ星のうち1.0,Amazon カスタマー,ダルすぎる,やれ薬を調合して使用しろだの植物を育てろだのこれをしないとストーリーが進まないというめんどくささ 戦闘もps2か？て思わせるほどの単調さ、過去一つまらないゲームです;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B0C5M5WR65,RM22MN6YNT2DY,2023年5月31日,5つ星のうち5.0,たまも,主人公と一緒に大冒険,"こんなにハマったゲームは久しぶりです。
没入感がすごいなと思ってます。
まだ操作に慣れないところもありますが、週末の魔法世界への旅を楽しんでいきたいです。;",1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B0C5M5WR65,R345KGREL73WM1,2023年5月31日,5つ星のうち3.0,ゴンザレス,最初は感動するしゲームのクオリティに驚くが・・・,"文字通りハリーポッターの世界が完全再現されてて(大階段が映画と全く違ったりハグリッドの小屋のロケーションが全然違う場所にあったり映画と違う場所はかなりあるが)感動する
ストーリーの内容はマクドナルドのコーラよりも薄くて引き伸ばしてるだけで戦闘はただのジャンケンなので高確率で途中で飽きる
魔法覚えるたびにオブジェクト解除出来るようになるんだけどその度に迷路のような学校内歩き回らなきゃならなくて苦痛も感じた
あと少しのネタバレになるが最初に箒に乗れるようになりそのあと箒を操作性悪くしたヒッポグリフと地上しか走れないグラップホーンに乗れるようになるが箒が1番操作性も使い勝手も良く順番逆ではと思った
まあハリーポッターファンならやって損はないけどゲーマー目線だと色々惜しい作品;",2人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B0C5M5WR65,REVEXBMT2OBN6,2023年5月31日,5つ星のうち5.0,TK.,ソロゲームなのに充実しすぎているコンテンツ,"最近のゲームタイトルの中では、三本の指に入るぐらい高品質のゲームでした。探索、戦闘、物語、全ての点においてそれぞれ楽しく、そして、意味のある繋がりが多く本編を知らない人にとっても良いゲームだと思います。映画より100年前の世界観で作られているため、ゲームをしたあとに映画を見たくなりました。

何より、オープニング数分で訪れる風景が素晴らしく、遙か彼方まで見入る映像美に心を奪われました。

文句なしに☆５です！;",2人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B0C5M5WR65,R3P13TQNZAL4OS,2023年5月29日,5つ星のうち3.0,Amazon カスタマー,バグ多すぎて進めない,"作り込みはすごいし、映像美も素晴らしいんだけどバグが多くてゲームのシステムの出来としてはくそすぎる。

その一つとして、どういう操作でそうなったのか知らんが時間操作できなくなった。夜にならなければできないクエストがあるので現状詰んでる。他にもあるところではまって抜け出せなくなるとか、人物に話せなくなるとかetcetc

アプデしないなら売り飛ばすわ。;",1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B0C5M5WR65,R3V2CDOXR0JJQS,2023年5月29日,5つ星のうち5.0,ポケウォッチ,ハリポタファンにはおすすめ,ハリーポッターファンにとって、このゲームは最高です。ハリポタの世界観を忠実に再現しており、ゲーム中も楽しすぎました。しかし、ハリポタファンではない人がこのゲームをすると、マップ移動のロード時間などの長さなどが気になるかもしれません。;,2人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B0C5M5WR65,R22F1F6ZWVDGL5,2023年5月28日,5つ星のうち4.0,沼尻紘一,うまくバランスとってる感じ,"映画や本に接したことがある人には、懐かしい内容が結構でてくる。これがよき
また、アクション、クエスト、主人公の設定（学年）など、アクションと原作のバランスとってる感じですかね。

さすがに、ハリー主人公で、7年は、きついか。。;",2人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B0C5M5WR65,R31UYIPRJQVD7S,2023年5月28日,5つ星のうち1.0,νΞ,こんなもんか・・・。,"大絶賛されてるソフトだけども結局はキャラゲー、雰囲気ゲーなので序盤で飽きました。
まずキャラクリはあのカスタマイズ程度なら必要無いかな。
アクションもモッサリしてるし爽快感は皆無。
UIもちょっと古臭いし不親切。
グラフィックもゆーほど良くない。

結構なハリポタ好き以外は止めといた方が良いかと。;",1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B0C5M5WR65,R1OBQMYA8YTPA0,2023年5月27日,5つ星のうち5.0,北見七星,ゲーム,良品でした;,1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B07RNK496B/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B07RNK496B,RGWZMQYJ3MVBU,2023年4月28日,5つ星のうち5.0,かなみゃん,よかった,ずっとやってます;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B07RNK496B/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B07RNK496B,R157SAD1SUCGIX,2023年4月19日,5つ星のうち5.0,たけ,子供のお気に入り,"飽きないのかと思うくらい
毎日やってます
本当の釣りもやりたいと
言いだしました;",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B09CL1FNQQ,R1WXMZ5SKFG044,2023年6月12日,5つ星のうち2.0,vin,面白くない,全く面白くない。3時間くらいで苦痛になってやめた;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B09CL1FNQQ,R2ZVT6HI2EPZTI,2023年6月7日,5つ星のうち1.0,あんこ,ケースだけで中身がない！！,"子供の誕生日に頼んだのに、届いたらケースのみ！！もぉ！ありえない！
ラミネートもなにもなく、え？中古？って感じだし、誕生日には間に合わないし、とにかく嫌な思いばかりでした。;",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B09CL1FNQQ,R33V7G7SW7FEWB,2023年6月5日,5つ星のうち4.0,soma,楽しかった　ネタバレ注意,"登場キャラクターのウォロが一番のお気に入りで
会えるのを楽しみにしていたら
ギラティナの大戦後姿を消して
それ以来再戦も会えない状態でがっかり
敵にはなりましたが好きなキャラクターです;",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B09CL1FNQQ,R76P0GMD715MT,2023年6月1日,5つ星のうち4.0,竹内健太郎,安定,興味があるうちは、新作が出ればやる。;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B09CL1FNQQ,RNEKRTKLLROR0,2023年5月29日,5つ星のうち1.0,山根佑太,ありえない,ソフトが壊れていて読み込むことが出来ない;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B07RNK496B/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B07RNK496B,R3KCLYODZPO0D8,2023年3月16日,5つ星のうち5.0,chim,今まで知らなかった…,"子供たちの口から聞いたことのない魚の種類や特徴を聞いてびっくり！
わかりやすい内容、大人数でも遊べたりするので家族や友達とも大盛り上がりです！
魚にも詳しくなり、今ではスーパーなどに行くとこれはマダイだよ！これはマグロだよ！と教えてくれるようになりました。;",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B07RNK496B/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B07RNK496B,R2W2E104UW6C18,2023年2月13日,5つ星のうち5.0,くまのすけ,ゲーセンと同じ事が自宅で,ゲーセンの釣りスピが自宅のSwitchで出来るのでせがまれて買いました。メダルが増やせるので自宅で遊ぶにはいいのですが、じゃぶじゃぶメダルを注ぎ込む遊び方が身についてしまい、ゲーセンに行った時にえらい目にあいました。気をつけましょう。;,3人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B07RNK496B/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B07RNK496B,RX963KLJFK4JW,2023年2月11日,5つ星のうち5.0,Taddy,プレゼント,小5の女の子のプレゼントです。毎日釣りを楽しんでいます。;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B09CL1FNQQ,R1UMMXEVK4B76O,2023年5月28日,5つ星のうち5.0,ピンキー,Switchのゲーム,孫に買ってあげました。とても喜んでくれて居ます。;,1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B09CL1FNQQ,R2VTBXEG2LM7J5,2023年5月27日,5つ星のうち5.0,Driver 0946,アクションゲーム要素が強い,"既に登場しているポケモンもたくさん出ますがヒスイの姿や新進化も多く登場します。
この作品はアクション要素が強く新しいポケモンゲームだと感じました。
私はかなりゲームが下手なのでボス戦はクリアするのが大変でギブアップして子供にやってもらうバトルもありました。;",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B09CL1FNQQ,RNIN2YZHH13D8,2023年5月14日,5つ星のうち2.0,シリウス,再シュリンク注意,新品を注文したのに、再シュリンクされたものが届きました。;,1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B09CL1FNQQ,RFA2PSL1GNETZ,2023年5月14日,5つ星のうち4.0,ぽぽたや,大昔のシンオウ地方の物語,"現代シンオウでは絶滅してしまったポケモンや、姿形が異なるポケモン、全く変わらないポケモンが入り乱れて生活しております。
この時代のポケモンは人間に敵対感情を向けることが多く、バディを連れ歩いていないと人間に攻撃をしてくるのが実に現実的で面白いです。今作は名誉あるパイオニアとして未知のポケモンという存在を研究し原初のポケモン図鑑を完成させていく物語となります。
ゲームシステムも今までにない画期的なものばかり。特に隠密行動での捕獲や、エリアボスが弱るまで人間の力だけで立ち向かうといったアクションが、トレーナーは指示をするだけという固定概念を一瞬にして崩してくれて非常にワクワクしました。努力値の概念もないので育成の楽しさよりも研究行為に重きをおいたゲームなのでしょう。;",4人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B09CL1FNQQ,R1VITWIWAZEN4,2023年5月13日,5つ星のうち5.0,chika,満足,子供がアルセウス好き;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B07RNK496B/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B07RNK496B,R36BNTU5BC6MRQ,2023年2月6日,5つ星のうち4.0,探し続けて。。やっと,つりざわはいらないな。,釣竿なくても楽しめる。;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B07RNK496B/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B07RNK496B,R18MLTC6IOXSEO,2023年1月29日,5つ星のうち5.0,Kindleのお客様,子供が喜びました！,プレゼントして良かったです;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B07RNK496B/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B07RNK496B,RQ4EXBWQ6WBLW,2023年1月14日,5つ星のうち5.0,きさき,おもしろい,みんな腕が筋肉痛になるくらい夢中で遊んでいます。;,1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_3?&pageNumber=3&sortBy=recent,B0C5M5WR65,R30PF2SZ6G6AQF,2023年5月27日,5つ星のうち1.0,評価用,キーコンフィグ不可能,操作変更が出来ないのがかなりのストレスです。;,1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_3?&pageNumber=3&sortBy=recent,B0C5M5WR65,R1GYYMYEO06CVA,2023年5月27日,5つ星のうち5.0,ゆう,ゲーム,おもろい！！これに尽きる！！;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_3?&pageNumber=3&sortBy=recent,B0C5M5WR65,R37AT34S0F7JE,2023年5月27日,5つ星のうち5.0,与那覇 和幸,ホグワーツ　レガシー,面白い。;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_3?&pageNumber=3&sortBy=recent,B0C5M5WR65,RP2TZEXM966TU,2023年5月26日,5つ星のうち4.0,ちほ,総合評価は100点,"グラフィック·世界観再現：250点/100点
戦闘アクション：90点/100点
ストーリー・キャラクター掘り下げ：70点/100点

と言う感想を持ちました。あくまで私個人の見解ですが。
もう少し細かく箇条書きで上げると

●良い所
・ハリポタの世界観を完全再現するぞ！という作成陣の気合を溢れんばかりに感じる。
・マジで観光がてら練り歩くだけで4時間位余裕でかかる程綺麗
・プレイ中はずっと「わーキレー」って言い続けてるぐらい綺麗（おすすめは冬）
・箒で海面ギリギリ飛んでみ？トブぞ？

●個人的にちょっとな、と思った所
・翻訳サイト使ってる？ってくらい何か日本語が変→内容が頭に入りにくい→ストーリーが分かりにくいの負の連鎖
・キャラクターの細かい掘り下げがない。
なんでおじさんは闇祓い辞めたの?なんでおじさんはそんなに貴方の父さん嫌ってるの？てか主人公何者？っていうのが最後まで分からないまま
・結構重要な分岐選択をさせといて最終エンディング一つだけ
・トロフィーコンプ勢には厳しい、コレクションカウントバグあり

あくまで世界観を楽しむ作品でキャラゲーではない。
という事を認識して購入したほうがいいと思いました。

ゲームの面白さはストーリーとキャラの掘り下げにあり！
という方や
トロフィーコンプリートは当たり前！
という方にはちょっと厳しいかも。　

ただ上記に関しては今後のアップデートや追加コンテンツでどうにかなるかもしれませんし、タイトルにも書いた通り、
全てを総合すれば100点の作品です。
あとは皆さんのレビューも参考にしてみてください！;",12人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_3?&pageNumber=3&sortBy=recent,B0C5M5WR65,R1DFX64RP6QFXP,2023年5月25日,5つ星のうち5.0,marinara,ハリポタファンじゃなくても楽しめる,ハリポタファンはもちろん楽しめますが、そうでない方にもしっかりと解説があるのでとても面白いと思います。ファンタジーな世界観が最高でやり込み要素がかなりあることと、操作性も良かったので買ってよかったなと思いました。;,1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_3?&pageNumber=3&sortBy=recent,B0C5M5WR65,R3QPU293XKV28M,2023年5月25日,5つ星のうち5.0,km2,面白い！,このクオリティをps4で再現。いい出来です;,1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_3?&pageNumber=3&sortBy=recent,B0C5M5WR65,R4ZCURJZ5VNYY,2023年5月24日,5つ星のうち5.0,いちご,夢が叶った,小学生の頃にハリーポッターにどハマりして、ホグワーツ入学をずっと夢見てきて19年、やっと夢が叶いました。細部の細部まで作り込まれていて製作者の愛が感じられるし、想像だけで保管していた部分を実際に探索できるのがすごく嬉しいです。オリジナルストーリーなのに世界観も全然壊れていない、むしろ原作の小ネタなどがちょこちょこ入っていてめちゃくちゃ興奮しました。戦闘もスピーディーで楽しいし、コンボが決まったときの爽快感は癖になります。時間を忘れてどっぷりプレイしました。文句なしの神ゲーです！;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_3?&pageNumber=3&sortBy=recent,B0C5M5WR65,RIR152PZLU1GE,2023年5月23日,5つ星のうち5.0,mj,傑作,おすすめ。やって損なしです。;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_3?&pageNumber=3&sortBy=recent,B0C5M5WR65,R15QQQTBVWJF1Q,2023年5月23日,5つ星のうち4.0,染矢 祐一郎,ハリポタ好きなら,魔法が、ハリポタに出てくるのが使えて面白い。戦闘も魔法等を組み合わせて、戦うのが良い。収集の為、こまめに魔法を使う場面があるのが少し面倒。;,1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_3?&pageNumber=3&sortBy=recent,B0C5M5WR65,R37CWZ4OAO8C7U,2023年5月22日,5つ星のうち5.0,鬼滅人気急上昇,色褪せないポッターワールド,"オープニングタイトルに鳥肌が立ち、ハリーポッター第1作を読んだ頃のワクワク感が蘇ります。
加えてハードモードによる緊迫感。
マップや背景の作り込み、全てがあの魔法界。
おすすめです。;",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B09CL1FNQQ,RBHVGUR1I8008,2023年5月6日,5つ星のうち5.0,いの,グラフィックが素晴らしい,ヒスイ地方の趣ある景色が素晴らしいです。野生ポケモンが本気でこちらを仕留めにかかってくるのもイイ。シンオウ地方を感じさせられるところも多々あるので、ダイパプラチナが好きな方には特にオススメしたい作品。;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B09CL1FNQQ,R3US58NXF7935Z,2023年5月4日,5つ星のうち2.0,茅,幼児向け,それなり;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B09CL1FNQQ,RCI3WUG1WBM16,2023年5月3日,5つ星のうち5.0,ピュー,子供の頃求めてたゲーム,子供の頃に求めてたポケモンゲームの姿でした。;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B09CL1FNQQ,RG9RR3ZGNEAHQ,2023年4月24日,5つ星のうち4.0,Ｋｏｕ,孫への贈り物,孫への贈り物なので商品の詳細は分かりません。孫からのリクエストですので喜んでいるので先ずはOKですね。;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B09CL1FNQQ,R2JFV8D7MUS6T8,2023年4月10日,5つ星のうち5.0,クマさん,楽しい,息子が喜んでいるので良し！;,1人
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B09CL1FNQQ,R25OLUAG4EBNGY,2023年4月9日,5つ星のうち2.0,Amazon カスタマー,今までと違うポケモン,私は苦手で好きではなく序盤で売りました。;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B09CL1FNQQ/ref=cm_cr_getr_d_paging_btm_next_2?&pageNumber=2&sortBy=recent,B09CL1FNQQ,R1DZHM6MH217ZG,2023年4月3日,5つ星のうち5.0,ピジョン,神ゲーでした,"ダイパ世代ですが、パールのときよりもハマってしまいました。
図鑑を100%埋めて、お気に入りのポケモンを100レベにし、色違いポケモン探しまでやっちゃいました。マジで面白い。;",3人
